founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2008,1,1,488,488,1,2000000,100,2000000,1,0,0,2000000,0,0,2000000,1,CA,01.07.2008,software,2,3
2005,0,1,1781,1149,0,1862859,86,12137141,2,0,0,14000000,632,316,7000000,1,CA,01.08.2005,software,2,5
2000,0,1,2698,2181,1,66607895,83,66607895,3,0,0,80000000,517,172,26666666,1,CA,01.01.2000,software,4,5
2011,0,2,703,703,1,12000000,100,12000000,1,291,145,12000000,0,0,12000000,1,CA,01.01.2011,software,2,1
2005,0,2,1902,628,1,25385836,97,25385836,3,1317,658,26000000,1274,424,8666666,1,CA,01.01.2005,software,1,6
2008,1,1,714,714,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,CA,01.01.2008,web,1,5
2010,0,2,489,42,1,6896878,77,6896878,2,306,153,8950000,447,223,4475000,1,CA,21.12.2010,analytics,7,24
2005,0,2,1109,424,1,43674111,76,43674111,2,830,415,57000000,685,342,28500000,1,CA,01.01.2005,web,3,7
2003,0,3,3408,609,1,27579057,68,27579057,4,1129,376,40400000,2799,699,10100000,1,CA,01.01.2003,advertising,1,17
2009,1,1,280,280,1,50000,100,50000,1,0,0,50000,0,0,50000,0,CA,01.07.2009,messaging,1,1
2008,1,3,967,61,1,1619845,88,1619845,3,1512,504,1822922,906,302,607640,1,CA,01.10.2008,ecommerce,2,10
2010,0,2,683,402,1,8549525,71,8549525,2,18,9,12010000,281,140,6005000,1,CO,01.01.2010,software,2,14
2003,0,2,1890,1391,0,1634994,90,15365006,2,671,335,17000000,499,249,8500000,0,CA,01.01.2003,software,1,2
2005,0,1,395,395,1,6250000,100,6250000,1,0,0,6250000,0,0,6250000,1,NY,01.06.2005,ecommerce,1,12
2007,1,4,1184,151,0,2895740,39,3787003,3,2331,582,9700000,1033,344,3233333,0,TX,01.01.2007,games_video,1,5
2006,0,5,1225,184,0,5161536,53,7689325,5,1389,277,14400000,1041,208,2880000,1,NY,01.08.2006,web,5,9
2009,1,3,183,53,0,336998,86,2228002,2,918,306,2565000,130,65,1282500,1,CA,09.09.2009,mobile,3,10
2007,1,3,1444,0,1,45355569,50,45355569,5,142,47,90000000,1444,288,18000000,1,NY,01.09.2007,enterprise,3,24
2011,0,2,548,197,0,209710,89,1765290,2,5978,2989,1975000,351,175,987500,1,OR,01.03.2011,enterprise,3,6
2000,0,3,3449,1689,1,23138564,84,23138564,3,188,62,27500000,1760,586,9166666,1,CA,15.11.2000,mobile,1,22
2003,0,2,1675,1004,0,2681728,73,45019286,4,471,235,61000000,671,167,15250000,1,CA,01.06.2003,software,3,21
2010,0,1,609,0,0,185710,85,1114290,2,0,0,1300000,609,304,650000,0,CA,01.08.2010,games_video,1,2
2008,1,2,478,478,1,500000,100,500000,1,112,56,500000,0,0,500000,0,WA,01.01.2008,ecommerce,1,3
2003,0,1,1237,936,1,9573064,87,9573064,2,0,0,11000000,301,150,5500000,1,CA,01.01.2003,software,1,7
2000,0,1,2487,1893,1,21538218,74,21538218,2,0,0,29000000,594,297,14500000,1,MA,01.01.2000,public_relations,5,9
2008,1,2,731,731,1,11000000,100,11000000,1,153,76,11000000,0,0,11000000,1,CA,01.01.2008,enterprise,3,12
2007,1,3,849,643,0,864428,75,2664747,2,785,261,3529175,206,103,1764587,0,CA,01.09.2007,web,1,12
2005,0,1,180,180,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,CA,05.08.2005,search,1,8
2000,0,3,2594,0,0,23230896,47,28243048,3,1788,596,59000000,2594,864,19666666,1,VA,01.01.2000,software,2,9
2001,1,2,3417,1596,1,13850103,56,13850103,3,1956,978,24510540,1821,607,8170180,1,CA,01.01.2001,enterprise,2,5
2009,1,3,1421,427,1,2576255,48,2576255,5,412,137,5350000,994,198,1070000,1,TX,14.07.2009,enterprise,3,8
2005,0,1,429,268,0,5230703,77,18169297,2,0,0,23400000,161,80,11700000,1,ME,01.01.2005,software,2,1
2001,1,1,1801,1801,1,12000000,100,12000000,1,0,0,12000000,0,0,12000000,0,MA,01.01.2001,hardware,4,2
1999,0,2,4528,3414,1,13808656,45,13808656,3,1598,799,30300000,1114,371,10100000,0,CA,01.01.1999,games_video,4,9
